experimento,tempo,consumo_cpu
13,13.0,100.0
13,13.5,100.0
13,14.0,66.6
13,14.5,151.0
13,15.0,110.0
13,15.5,118.0
13,16.0,144.0
13,16.5,150.0
13,17.0,107.0
13,17.5,88.8
13,18.0,96.2
13,18.5,92.5
13,19.0,155.0
13,19.5,177.0
13,20.0,155.0
13,20.5,129.0
13,21.0,188.0
13,21.5,103.0
13,22.0,110.0
13,22.5,96.4
13,23.0,82.1
13,23.5,74.0
13,24.0,260.0
13,24.5,111.0
13,25.0,117.0
13,25.5,182.0
13,26.0,114.0
13,26.5,107.0
13,27.0,107.0
13,27.5,133.0
13,28.0,74.0
13,28.5,185.0
13,29.0,144.0
13,29.5,111.0
13,30.0,200.0
14,0.5,88.8
14,1.0,128.0
14,1.5,88.8
14,2.0,74.0
14,2.5,77.7
14,3.0,153.0
14,3.5,162.0
14,4.0,148.0
14,4.5,114.0
14,5.0,174.0
14,5.5,207.0
14,6.0,103.0
14,6.5,85.1
14,7.0,103.0
14,7.5,103.0
14,8.0,221.0
14,8.5,207.0
14,9.0,133.0
14,9.5,192.0
14,10.0,159.0
14,10.5,114.0
14,11.0,100.0
14,11.5,103.0
14,12.0,88.8
14,12.5,103.0
14,13.0,248.0
14,13.5,170.0
14,14.0,117.0
14,14.5,185.0
14,15.0,107.0
14,15.5,129.0
14,16.0,96.2
14,16.5,111.0
14,17.0,81.4
14,17.5,207.0
14,18.0,146.0
14,18.5,81.4
14,19.0,140.0
14,19.5,175.0
14,20.0,77.7
14,20.5,88.8
14,21.0,100.0
14,21.5,171.0
14,22.0,59.2
14,22.5,259.0
14,23.0,118.0
14,23.5,118.0
14,24.0,144.0
14,24.5,133.0
14,25.0,107.0
14,25.5,81.4
14,26.0,78.5
14,26.5,88.8
14,27.0,181.0
14,27.5,151.0
14,28.0,140.0
14,28.5,171.0
14,29.0,155.0
14,29.5,142.0
14,30.0,96.2
15,0.5,96.2
15,1.0,135.0
15,1.5,92.8
15,2.0,196.0
15,2.5,144.0
15,3.0,162.0
15,3.5,207.0
15,4.0,114.0
15,4.5,92.5
15,5.0,96.2
15,5.5,75.0
15,6.0,85.1
15,6.5,135.0
15,7.0,185.0
15,7.5,118.0
15,8.0,148.0
15,8.5,196.0
15,9.0,133.0
15,9.5,117.0
15,10.0,88.8
15,10.5,103.0
15,11.0,125.0
15,11.5,153.0
15,12.0,229.0
15,12.5,103.0
15,13.0,174.0
15,13.5,107.0
15,14.0,114.0
15,14.5,121.0
15,15.0,89.2
15,15.5,92.5
15,16.0,166.0
15,16.5,185.0
15,17.0,130.0
15,17.5,155.0
15,18.0,170.0
15,18.5,122.0
15,19.0,92.8
15,19.5,132.0
15,20.0,148.0
15,20.5,62.9
15,21.0,203.0
15,21.5,181.0
15,22.0,125.0
