experimento,tempo,consumo_cpu
12,12.5,133.0
12,13.0,62.9
12,13.5,110.0
12,14.0,192.0
12,14.5,185.0
12,15.0,255.0
12,15.5,70.3
12,16.0,122.0
12,16.5,192.0
12,17.0,140.0
12,17.5,107.0
12,18.0,100.0
12,18.5,121.0
12,19.0,167.0
12,19.5,100.0
12,20.0,192.0
12,20.5,117.0
12,21.0,133.0
12,21.5,166.0
12,22.0,151.0
12,22.5,71.4
12,23.0,133.0
12,23.5,144.0
12,24.0,135.0
12,24.5,164.0
12,25.0,70.3
12,25.5,125.0
12,26.0,153.0
12,26.5,148.0
12,27.0,160.0
12,27.5,67.8
12,28.0,114.0
12,28.5,162.0
12,29.0,153.0
12,29.5,229.0
12,30.0,82.1
13,0.5,140.0
13,1.0,170.0
13,1.5,137.0
13,2.0,114.0
13,2.5,103.0
13,3.0,150.0
13,3.5,196.0
13,4.0,185.0
13,4.5,214.0
13,5.0,92.8
13,5.5,133.0
13,6.0,151.0
13,6.5,139.0
13,7.0,100.0
13,7.5,100.0
13,8.0,114.0
13,8.5,144.0
13,9.0,233.0
13,9.5,151.0
13,10.0,92.5
13,10.5,171.0
13,11.0,153.0
13,11.5,207.0
13,12.0,103.0
13,12.5,85.1
13,13.0,196.0
13,13.5,139.0
13,14.0,277.0
13,14.5,103.0
13,15.0,100.0
13,15.5,185.0
13,16.0,135.0
13,16.5,140.0
13,17.0,133.0
13,17.5,67.8
13,18.0,181.0
13,18.5,132.0
13,19.0,196.0
13,19.5,118.0
13,20.0,88.8
13,20.5,188.0
13,21.0,166.0
13,21.5,103.0
13,22.0,118.0
13,22.5,71.4
13,23.0,139.0
13,23.5,166.0
13,24.0,111.0
13,24.5,144.0
13,25.0,128.0
13,25.5,148.0
13,26.0,207.0
13,26.5,85.1
13,27.0,88.8
13,27.5,114.0
13,28.0,144.0
13,28.5,170.0
13,29.0,129.0
13,29.5,122.0
13,30.0,121.0
14,0.5,140.0
14,1.0,146.0
14,1.5,137.0
14,2.0,62.9
14,2.5,140.0
14,3.0,140.0
14,3.5,150.0
14,4.0,211.0
14,4.5,48.1
14,5.0,148.0
14,5.5,153.0
14,6.0,129.0
14,6.5,144.0
14,7.0,53.5
14,7.5,103.0
14,8.0,196.0
14,8.5,159.0
14,9.0,278.0
14,9.5,74.0
14,10.0,159.0
14,10.5,214.0
14,11.0,140.0
14,11.5,114.0
14,12.0,92.8
14,12.5,107.0
14,13.0,177.0
14,13.5,122.0
14,14.0,188.0
14,14.5,103.0
14,15.0,140.0
14,15.5,181.0
14,16.0,144.0
14,16.5,100.0
14,17.0,103.0
14,17.5,128.0
14,18.0,144.0
14,18.5,175.0
14,19.0,100.0
14,19.5,122.0
14,20.0,132.0
14,20.5,140.0
14,21.0,170.0
